learn,lemp,lpart,ledu,linvest,lgov,lselfemp,leconmix,lolddep,lhousing,lhealth,lpopd,lmtravel,dmarket,dpark
9.721546,-1.055834,3.877432,2.302585,.5877866,2.079442,2.653242,4.59512,3.139833,.7654679,-.1613431,8.526326,3.077312,.9317361,6.742915
10.38921,-.6825292,4.149464,3.401197,1.686399,2.60269,2.104134,4.585988,3.325036,.8042412,-.0418642,5.620395,2.873565,4.407377,9.423351
10.16777,-.6917391,4.261271,3.020425,1.704748,2.24071,2.186051,4.588024,2.714695,.7929925,-.0429075,8.4292,3.194583,.9694613,6.850629
10.47622,-.7372969,4.160444,3.100092,2.360854,2.541602,1.064711,4.584968,3.790985,.9969487,-.0120726,7.924482,3.005683,1.803458,5.858475
9.931054,-.7452263,4.204693,2.451005,2.174752,1.960095,1.791759,4.598145,2.928524,.8458682,-.1323892,8.807631,2.970414,1.160939,6.734147
10.41238,-.5982143,4.295924,3.139833,1.410987,2.493206,1.547562,4.592085,3.104587,.8219801,-.0565704,4.818759,3.054001,4.910584,5.496228
10.50936,-.6308006,4.231204,3.206803,2.054124,2.219203,.8754688,4.602166,3.058707,.8350807,-.0242927,5.625624,2.99072,4.290623,3.399245
10.47271,-.6501883,4.200205,3.78419,2.681021,2.985682,1.667707,4.60517,3.449988,.8153648,-.0491902,6.543476,3.086487,2.140907,6.023591
9.08557,-1.418117,3.69883,2.116256,1.163151,.6418539,2.066863,4.60517,3.437208,.7490548,-.0965109,8.467529,2.791165,.4342742,7.29617
10.15199,-.8647878,4.20916,2.557227,2.360854,2.079442,,4.585988,2.370244,.8899468,-.0801261,8.096073,2.844909,.4154208,7.839854
9.407304,-.8436051,3.979682,2.727853,1.064711,1.902107,1.974081,4.563306,3.104587,.6312718,-.0899247,9.24727,2.827314,.6359506,8.24443
9.919361,-1.202146,3.937691,2.322388,1.386294,2.370244,2.174752,4.596129,2.687847,.8858315,-.2094872,8.482097,2.933857,.8350973,7.558766
10.20459,-.7107947,4.188138,3.049273,1.504077,2.533697,1.974081,4.593098,3.356897,.7275486,-.05975,8.205404,2.714695,1.341957,7.82895
10.33293,-.5819418,4.206184,2.960105,1.916923,2.104134,2.028148,4.59512,3.532226,.6286086,-.0345914,5.546938,2.99072,4.659228,8.856495
10.4484,-.59979,4.261271,2.99072,1.974081,2.014903,1.916923,4.597138,3.561046,.7608059,-.0544562,7.747019,3.144152,1.573408,9.145592
10.41858,-.6463462,4.191169,2.99072,2.681021,2.442347,2.014903,4.50976,3.511545,.81315,-.0481404,6.297812,3.169686,3.240802,10.55284
9.784479,-.6925175,4.178992,2.949688,1.481605,2.557227,1.871802,4.60517,3.091043,.9301937,-.0704225,6.979206,2.939162,2.851997,10.14635
10.35733,-.6777503,4.216562,2.517696,1.757858,2.617396,.6931472,4.600158,3.010621,.786182,-.0304592,5.722257,3.265759,7.577365,8.104621
10.32555,-.6985845,4.220977,3.086487,2.014903,2.360854,1.064711,4.592085,2.815409,.9001614,-.0283995,6.282677,3.280911,8.925094,11.22876
10.47974,-.4789253,4.391977,3.683867,2.128232,2.104134,1.84055,4.600158,2.687847,.722706,-.0314907,4.628409,3.421,10.35405,5.219983
10.34323,-.6586024,4.232656,2.646175,1.609438,2.721295,2.442347,4.588024,3.427515,.8565407,-.0232686,4.867689,3.339322,9.602642,2.647527
10.32095,-.6831827,4.22391,2.923162,1.791759,2.341806,2.140066,4.599152,3.222868,.8522854,-.0640053,4.926067,3.314186,7.627657,6.737088
10.42439,-.6425679,4.204693,3.11795,1.193922,2.747271,1.609438,4.602166,3.226844,.9062403,-.040822,4.574058,3.367296,11.49089,16.35408
10.389,-.7234744,4.154184,2.890372,.8329091,2.61007,1.458615,4.597138,3.299534,.8329091,-.0888312,4.026436,3.526361,20.97086,23.3679
10.02579,-.9384474,4.037774,2.60269,1.856298,1.757858,2.541602,4.601162,3.608212,.8175748,-.0491902,5.067846,3.397858,20.01976,22.68331
10.31629,-.6678531,4.247066,2.873565,1.84055,2.639057,2.282382,4.581902,3.210844,.9062403,-.0544562,3.96331,3.532226,14.05906,20.57536
10.40756,-.5945635,4.289089,3.144152,2.251292,2.624669,1.902107,4.577799,2.985682,.9612641,-.05975,4.904305,3.265759,7.076188,14.34189
10.42848,-.6496745,4.266896,2.949688,1.740466,2.140066,1.193922,4.599152,3.254243,.9555114,-.0502412,5.101266,3.284664,7.848448,15.1663
10.18814,-.9272014,3.901973,3.039749,.9932518,3.242592,2.397895,4.583947,3.916015,.8197798,-.0629398,1.336643,3.258096,154.5799,20.33403
10.14065,-1.016481,3.781914,2.442347,0,3.100092,2.370244,4.574711,3.795489,.7275486,-.0866478,3.584972,2.844909,169.5892,17.02828
10.20518,-.8187389,3.966511,3.049273,.9932518,2.24071,2.282382,4.584968,3.806663,.6070445,-.1154109,4.248523,2.687847,173.6164,7.519743
10.17374,-.9782301,3.858622,2.701361,2.079442,2.912351,2.04122,4.600158,3.770459,.6754923,-.0491902,3.353415,2.772589,170.2432,2.712373
10.13896,-.6730846,4.155753,3.218876,.9555114,2.509599,2.484907,4.601162,3.277145,.722706,-.0523465,4.301148,2.667228,168,7.987072
10.15976,-.9897447,3.83298,2.681021,1.193922,2.681021,2.219203,4.596129,3.906005,.6881347,-.0899247,-.099546,3.218876,145.0319,43.31284
10.19672,-.8949259,4.023564,2.687847,.9932518,2.844909,2.261763,4.55598,3.7612,.8733832,-.117658,2.243947,3.178054,127.965,20.10554
10.28585,-.7620577,4.130355,2.821379,1.064711,2.879198,1.974081,4.60517,3.430756,.8712934,-.10425,3.194889,3.11795,143.6046,17.70259
10.32177,-.7263349,4.178992,3.214868,1.88707,2.163323,1.740466,4.570579,3.218876,.9122827,-.058689,3.271975,2.906901,132.6442,7.642603
10.04529,-.7638494,4.039536,2.944439,.1823216,3.049273,2.509599,4.593098,3.693867,.6981347,-.0801261,5.095452,2.60269,148.8225,19.59567
10.32469,-.9337839,3.949319,2.939162,1.481605,3.380995,1.974081,4.60517,3.613617,.7395536,-.0844691,4.556889,3.034953,150.1421,20.03009
10.29887,-.7110746,4.102643,3.00072,1.458615,3.00072,2.104134,4.597138,3.621671,.8565407,-.0877389,4.269775,2.850706,143.6463,13.52031
9.754407,-.9973255,3.877432,2.890372,-.2231435,3.353407,2.140066,4.540098,3.487375,.8671005,-.058689,3.908262,2.646175,151.7645,21.27854
10.38406,-.757861,4.07244,2.923162,1.667707,2.687847,2.174752,4.600158,3.496508,.7202759,-.046044,3.67773,2.884801,140.8259,11.30591
10.02513,-.7835522,4.09601,3.139833,1.504077,2.667228,1.308333,4.591071,3.273364,.8858315,-.0943106,4.801483,2.701361,139.0727,8.667064
10.30075,-.6959269,4.114147,3.238678,1.791759,2.95491,1.94591,4.60517,3.8795,.6931472,-.0439519,4.968913,2.388763,134.4028,4.051425
9.648788,-.7454309,4.141546,2.104134,-.1053605,2.674149,1.722767,4.60417,2.97553,.7537718,-.1312483,4.667734,2.595255,132.0012,1.551886
10.10312,-.855223,3.992681,2.727853,1.481605,2.525729,1.987874,4.547541,3.411148,.7701083,-.0523465,3.389687,2.923162,126.9026,7.652503
10.14471,-.8313889,4.027136,2.379546,1.435084,2.572612,2.459589,4.60517,3.487375,.7584667,-.1255632,1.231427,3.161247,113.3923,17.22138
10.05895,-.7509417,4.100989,2.687847,.7419373,2.949688,.7884574,4.571613,3.484312,.8241754,-.1636961,5.367927,2.557227,103.7143,34.11803
