ïmedianearnings,meanearnings,emprate,laborpart,percentemploymentstatuscivilianl,dpark,dmarket,test,id,id2,geography,govworkers,bachelorsorhigher,mtraveltime,nonag,selfemp,financesectorinvest,oldagedepratio,meanhousingsize,occhealth2,popdensity,v22,v23,v24,estimatesexandagetotalpopulation,estimateemploymentstatuspopulati,v27,sqmiles,estimateinthelaborforceemployedw,v30,estimateinthelaborforcenoninst,v32,occhealth,latitude,longitude
16673,34848,85.7,48.3,14.3,6.742915,.9317361,.3479021,"1400000US23001010100",2.300e+10,"Census Tract 101, Androscoggin County, Maine",8,10,21.7,99,14.2,1.8,23.1,2.15,.851,5045.872,"1400000US23001010100",2.300e+10,"Census Tract 101, Androscoggin County, Maine",1716,1443,14.3,.34,102,,684,102,.1491228,44.09116,-70.22845
32507,107608,95.8,63.4,4.2,9.423351,4.407377,.5053373,"1400000US23001010200",2.300e+10,"Census Tract 102, Androscoggin County, Maine",13.5,30,17.7,98.1,8.2,5.4,27.8,2.235,.959,275.9983,"1400000US23001010200",2.300e+10,"Census Tract 102, Androscoggin County, Maine",4684,3895,4.2,16.971,95,,2331,95,.040755,44.15826,-70.25223
26050,43603,92.5,70.9,7.5,6.850629,.9694613,.5007045,"1400000US23001010300",2.300e+10,"Census Tract 103, Androscoggin County, Maine",9.4,20.5,24.4,98.3,8.9,5.5,15.1,2.21,.958,4578.837,"1400000US23001010300",2.300e+10,"Census Tract 103, Androscoggin County, Maine",2129,1627,7.5,.465,44,,1044,44,.0421456,44.0997,-70.23426
35462,66472,96.2,64.1,3.8,5.858475,1.803458,.4784053,"1400000US23001010400",2.300e+10,"Census Tract 104, Androscoggin County, Maine",12.7,22.2,20.2,98,2.9,10.6,44.3,2.71,.988,2764.133,"1400000US23001010400",2.300e+10,"Census Tract 104, Androscoggin County, Maine",2408,1868,3.8,.871,13,,1081,13,.0120259,44.08522,-70.24429
20559,36822,93.4,67,6.6,6.734147,1.160939,.4746269,"1400000US23001010500",2.300e+10,"Census Tract 105, Androscoggin County, Maine",7.1,11.6,19.5,99.3,6,8.8,18.7,2.33,.876,6685.062,"1400000US23001010500",2.300e+10,"Census Tract 105, Androscoggin County, Maine",2010,1524,6.6,.301,120,,966,120,.1242236,44.08477,-70.2234
33269,59861,92.5,73.4,7.5,5.496228,4.910584,.5497925,"1400000US23001010600",2.300e+10,"Census Tract 106, Androscoggin County, Maine",12.1,23.1,21.2,98.7,4.7,4.1,22.3,2.275,.945,123.8114,"1400000US23001010600",2.300e+10,"Census Tract 106, Androscoggin County, Maine",2892,2343,7.5,23.358,88,,1593,88,.0552417,44.03042,-70.2324
36657,79126,96.4,68.8,3.6,3.399245,4.290623,.5321656,"1400000US23001010700",2.300e+10,"Census Tract 107, Androscoggin County, Maine",9.2,24.7,19.9,99.7,2.4,7.8,21.3,2.305,.976,277.4452,"1400000US23001010700",2.300e+10,"Census Tract 107, Androscoggin County, Maine",3140,2519,3.6,11.318,39,,1636,39,.0238386,44.06962,-70.2897
35338,77667,96.8,66.7,3.2,6.023591,2.140907,.5219475,"1400000US23001010800",2.300e+10,"Census Tract 108, Androscoggin County, Maine",19.8,44,21.9,100,5.3,14.6,31.5,2.26,.952,694.6968,"1400000US23001010800",2.300e+10,"Census Tract 108, Androscoggin County, Maine",3964,3206,3.2,5.706,95,,1969,95,.0482478,44.10069,-70.25783
8827,19754,76.9,40.4,23.1,7.29617,.4342742,.2421696,"1400000US23001020100",2.300e+10,"Census Tract 201, Androscoggin County, Maine",1.9,8.3,16.3,100,7.9,3.2,31.1,2.115,.908,4757.747,"1400000US23001020100",2.300e+10,"Census Tract 201, Androscoggin County, Maine",1309,1019,23.1,.275,35,,380,35,.0921053,44.09465,-70.21835
25642,38760,84.9,67.3,15.1,7.839854,.4154208,.4211409,"1400000US23001020200",2.300e+10,"Census Tract 202, Androscoggin County, Maine",8,12.9,17.2,98.1,0,10.6,10.7,2.435,.923,3281.558,"1400000US23001020200",2.300e+10,"Census Tract 202, Androscoggin County, Maine",1192,878,15.1,.363,44,,573,44,.0767888,44.10633,-70.21625
